header_stamp,x,y,cov_x,cov_y
1780280465.091900110,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.092900038,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.092900038,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.093899965,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.093899965,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.094899893,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.094899893,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.095999956,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.095999956,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.096999884,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.096999884,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.098000050,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.098000050,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.098999977,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280465.098999977,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.000000000,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.000000000,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.000900030,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.000900030,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.001899958,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.001899958,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.002899885,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.002899885,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.003900051,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.003900051,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.005000114,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.005000114,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.006000042,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.006000042,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.006999969,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.006999969,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.007999897,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.007999897,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.008899927,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.008899927,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.009900093,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.009900093,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.010900021,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.010900021,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.011899948,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.011899948,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.013000011,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.013000011,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.013999939,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.013999939,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.015000105,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.015000105,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.016000032,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.016000032,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.016900063,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.016900063,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.017899990,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.017899990,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.018899918,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.018899918,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.019900084,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.019900084,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.020999908,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.020999908,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.022000074,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.022000074,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.023000002,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.023000002,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.023999929,-89.89119956261521,-44.641366397498544,0.005,0.005
1780280466.023999929,-89.89119956261521,-44.641366397498544,0.005,0.005
1780280466.025000095,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.025000095,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.025899887,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.025899887,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.026900053,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.026900053,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.027899981,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.027899981,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.028899908,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.028899908,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.029999971,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.029999971,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.030999899,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.030999899,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280466.032000065,-89.89119956261521,-44.641366397498544,0.005,0.005
1780280466.032000065,-89.89119956261521,-44.641366397498544,0.005,0.005
1780280466.032999992,-89.89119956261521,-44.641366397498544,0.005,0.005
1780280466.032999992,-89.89119956261521,-44.641366397498544,0.005,0.005
1780280466.033900023,-89.89119956261521,-44.641366397498544,0.005,0.005
1780280466.033900023,-89.89119956261521,-44.641366397498544,0.005,0.005
1780280466.034899950,-89.89119956261521,-44.641366397498544,0.005,0.005
1780280466.034899950,-89.89119956261521,-44.641366397498544,0.005,0.005
1780280466.035900116,-89.89119956261521,-44.641366397498544,0.005,0.005
1780280466.035900116,-89.89119956261521,-44.641366397498544,0.005,0.005
1780280466.036900043,-89.89119956261521,-44.641366397498544,0.005,0.005
1780280466.036900043,-89.89119956261521,-44.641366397498544,0.005,0.005
1780280466.038000107,-89.89119956261521,-44.641366397498544,0.005,0.005
1780280466.038000107,-89.89119956261521,-44.641366397498544,0.005,0.005
1780280466.039000034,-89.89119956261521,-44.641366397498544,0.005,0.005
1780280466.039000034,-89.89119956261521,-44.641366397498544,0.005,0.005
1780280466.039999962,-89.89119956261521,-44.641366397498544,0.005,0.005
1780280466.039999962,-89.89119956261521,-44.641366397498544,0.005,0.005
1780280466.040999889,-89.89119956261521,-44.641366397498544,0.005,0.005
1780280466.040999889,-89.89119956261521,-44.641366397498544,0.005,0.005
1780280466.041899920,-89.89119956261521,-44.641366397498544,0.005,0.005
