t_ekf,yaw_rtk,yaw_ekf,diff_deg
1780294785.03353,-1.6716763575601687,-1.6112458315003686,-3.4624140969818846
1780294785.0550334,-1.5823154998580593,-1.6015856532456751,1.1040984596801136
1780294785.0639734,-1.5446163880149817,-1.5979476921332965,3.0556586419081024
1780294785.0786898,-1.479166541065194,-1.5934172125123522,6.546081280457991
1780294785.0980215,-1.3966124674458624,-1.5872492994858478,10.92268589563551
1780294785.1180172,-1.3112658670233397,-1.57992527672746,15.39305030252213
1780294785.918319,-1.3074261426689526,-1.1936310417014908,-6.519979014700633
1780294785.9381027,-1.3074261426689526,-1.182649354439157,-7.1491833467649375
1780294785.9580116,-1.3074261426689526,-1.1716115471855757,-7.781603117474031
1780294785.9782357,-1.3074261426689526,-1.1607716543824291,-8.402683225468564
1780294786.012384,-1.3074261426689526,-1.1447757291496905,-9.319182230711307
1780294786.0266557,-1.2814207368142367,-1.1384604327537287,-8.19102206057408
1780294786.038538,-1.2411036310931682,-1.1334880969785157,-6.16591591481572
1780294786.0579789,-1.1842058974781524,-1.127280502953431,-3.2615848533836638
1780294786.0779717,-1.14511052223348,-1.121712716390445,-1.3405955246724472
1780294786.9091985,-1.1189305834535652,-0.9577237836680847,-9.236469256518495
1780294786.926993,-1.1189305834535652,-0.9566407021449476,-9.298525256662858
1780294786.9379883,-1.1189305834535652,-0.9560652442922639,-9.331496562909292
1780294786.9587483,-1.1189305834535652,-0.9553059857794342,-9.374998871253815
1780294786.9780097,-1.1189305834535652,-0.9548080278787534,-9.403529757338017
1780294786.9979913,-1.1189305834535652,-0.9541264077476797,-9.442583714079698
1780294787.0180113,-1.1189305834535652,-0.9532343065677816,-9.493697346586496
1780294787.0381732,-1.1208504456307586,-0.955680488630369,-9.463541438479611
1780294787.059781,-1.1232939065835508,-0.9580978874763122,-9.465034687207275
1780294787.0779989,-1.126260966311941,-0.9615631303294909,-9.436490896732252
1780294787.0979695,-1.1255628346111433,-0.9654369165287542,-9.174539296778446
1780294787.1186256,-1.129053493115132,-0.9706024598004369,-9.078575468418826
1780294787.9126363,-1.1290534931151317,-1.0467943818448935,-4.713099902281674
1780294787.9274764,-1.1290534931151317,-1.047888887120747,-4.6503893693204645
1780294787.9379945,-1.1290534931151317,-1.0491812685626276,-4.576341367179674
1780294787.958663,-1.1290534931151317,-1.0510916899245475,-4.466882286050031
1780294787.9782305,-1.1290534931151317,-1.0526880498753592,-4.375417598284805
1780294788.0027196,-1.1290534931151317,-1.054739168397313,-4.2578971636957395
1780294788.0179667,-1.1290534931151317,-1.0568625875655508,-4.136234207218536
1780294788.03803,-1.1304497565167275,-1.060777718566381,-3.991913724630163
1780294788.058649,-1.1320205528435223,-1.0655308268553292,-3.809580680104774
1780294788.0780008,-1.1344640137963142,-1.0701543758590466,-3.68467083581984
1780294788.0991776,-1.1362093430483087,-1.0749857602720567,-3.5078528997490763
1780294788.91798,-1.1377801393751035,-1.1433788031253713,0.3207798038032334
1780294788.9379673,-1.1377801393751035,-1.1450803743949127,0.41827265608867314
1780294788.957997,-1.1377801393751035,-1.146891570314336,0.5220465381429483
1780294788.9852264,-1.1377801393751035,-1.1483820521278751,0.6074448554997413
1780294789.0136101,-1.1377801393751035,-1.1493938329782798,0.6654156280200851
1780294789.0235076,-1.1377801393751032,-1.1500358231457637,0.7021989551058221
1780294789.0379853,-1.1397000015522971,-1.1507481895411384,0.6330145430277372
1780294789.0580113,-1.1426670612806875,-1.1514612896596244,0.5038721701872566
1780294789.0779932,-1.1479030490366706,-1.1521782845431052,0.24495295094317796
1780294789.0980895,-1.1522663721666566,-1.1530613993097203,0.04555169989589212
1780294789.9042888,-1.154709833119448,-1.1806282020956924,1.4850131542016085
1780294789.9180126,-1.154709833119448,-1.1813388994147715,1.5257331110961052
1780294789.9380064,-1.154709833119448,-1.1817551066373664,1.5495800283536512
1780294789.9579794,-1.154709833119448,-1.1821215931721667,1.5705781600460835
1780294789.9780104,-1.154709833119448,-1.1828002568833353,1.6094627264047325
1780294789.998008,-1.154709833119448,-1.1834949904856331,1.649268029702315
1780294790.0180073,-1.154709833119448,-1.184064187932385,1.6818806411108203
1780294790.0380087,-1.1566296952966424,-1.1846074484537545,1.6030071761613407
1780294790.0587127,-1.1562806294462433,-1.1851686008758107,1.6551588416087117
1780294790.077996,-1.1557570306706453,-1.1855124987956538,1.7048627409990367
1780294790.0990925,-1.1536626355682518,-1.1850834311702978,1.800278976940456
1780294790.1180654,-1.1479030490366706,-1.1847827103666484,2.113048944079555
1780294790.9048202,-1.1479030490366706,-1.1752245549073461,1.5654069763316076
1780294790.9277594,-1.1479030490366706,-1.173459693306798,1.4642878551954972
1780294790.9563115,-1.1479030490366706,-1.1718219607216918,1.3704526900978595
1780294790.9686513,-1.1479030490366706,-1.1720293069107,1.382332751626151
1780294790.9799256,-1.1479030490366706,-1.171609887106437,1.3583017669976862
1780294790.9980047,-1.1479030490366706,-1.170950749812785,1.3205359819517406
1780294791.018008,-1.1479030490366706,-1.1699361860963073,1.2624057629504686
1780294791.0391445,-1.1435397259066848,-1.1688805193005753,1.4519205109829234
1780294791.0631406,-1.1353366784223116,-1.167716313384153,1.8552164254877614
1780294791.0782192,-1.132369618693921,-1.1675743069736901,2.017080057504449
1780294791.1008759,-1.1276572297135365,-1.167067766352931,2.2580574177829953
1780294791.9180043,-1.1225957748827529,-1.1283154988928887,0.32771604576042807
1780294791.9382105,-1.1225957748827529,-1.1276211181358031,0.28793095900432375
1780294791.961071,-1.1225957748827529,-1.1269438627972894,0.24912708645478457
1780294791.980494,-1.1225957748827529,-1.1259841789980916,0.19414125509366661
1780294792.0018404,-1.1225957748827529,-1.1248609678389014,0.12978599617007597
1780294792.0179949,-1.1225957748827529,-1.1241500257043282,0.08905201238100788
1780294792.037964,-1.1170107212763707,-1.1237220894483475,0.38453307101270207
1780294792.0579312,-1.1082840750163996,-1.123344241510755,0.862883978890902
1780294792.0813696,-1.103397153110815,-1.1226155502507722,1.1011330451258339
1780294792.098352,-1.0974630336540345,-1.122307767453961,1.4234983898618108
1780294792.9180014,-1.0906562495712564,-1.0906103652292003,-0.0026289791455492537
1780294792.937997,-1.0906562495712564,-1.0896686206927304,-0.056586966464778024
1780294792.9581606,-1.0906562495712564,-1.0889401782644863,-0.09832364322142642
1780294792.9784398,-1.0906562495712564,-1.0880228495994888,-0.15088270415215313
1780294792.9980059,-1.0906562495712564,-1.087093499493595,-0.2041305429099034
1780294793.0180678,-1.0906562495712564,-1.086181450287972,-0.2563871131003569
1780294793.0477164,-1.0843730642640765,-1.0848899912798418,0.029617736319639838
1780294793.0622816,-1.080009741134091,-1.0842474118643173,0.24280064780808835
1780294793.0779922,-1.0739010887521114,-1.0838116898746308,0.5678356167579779
1780294793.0980055,-1.0674433705197317,-1.0831984739189402,0.9027009305668636
1780294793.9179928,-1.060287520586555,-1.0516272157810125,-0.4961989146544489
1780294793.9480813,-1.060287520586555,-1.050933530070011,-0.5359441782033717
1780294793.9693527,-1.060287520586555,-1.049491597247878,-0.6185608432529747
1780294794.0077863,-1.060287520586555,-1.0475253645158489,-0.7312176803387204
1780294794.0273106,-1.058367658409361,-1.0469158591586951,-0.656139764894239
1780294794.042215,-1.0538298023541761,-1.0464790778053052,-0.4211654930135068
1780294794.0689368,-1.0437068926926092,-1.0457223230162536,0.11547565144750818
1780294794.0846138,-1.038470904936626,-1.0459364477358426,0.427744094169389
1780294794.106797,-1.0334094501058426,-1.0461319025859095,0.7289428321635788
1780294794.9180129,-1.0316641208538484,-1.0264123344213565,-0.30090519748585376
1780294794.9379928,-1.0316641208538484,-1.0260305176894395,-0.32278168477217306
1780294794.9591002,-1.0316641208538484,-1.0257295828384667,-0.3400239816413142
1780294794.9779959,-1.0316641208538484,-1.025472323825729,-0.354763837312884
1780294794.9979715,-1.0316641208538484,-1.02499428115159,-0.3821536649682016
1780294795.0210314,-1.0316641208538482,-1.024463086279586,-0.4125888892330058
1780294795.0467246,-1.0339330488814409,-1.0241055370593966,-0.563074950518062
1780294795.065202,-1.0341075818066405,-1.0242457857574516,-0.5650392920373141
1780294795.0785487,-1.0349802464326374,-1.0244202051615114,-0.6050457963194834
1780294795.0980008,-1.0370746415350307,-1.0247495738538932,-0.7061743603422712
1780294795.1182735,-1.0389945037122243,-1.0259983883004786,-0.744622563157954
1780294795.9005737,-1.0396926354130218,-1.0421082753660087,0.1384059741293289
1780294795.9247127,-1.0396926354130218,-1.0423192071322596,0.1504914741007435
1780294795.941045,-1.0396926354130218,-1.04273952830371,0.1745741032648467
1780294795.9587116,-1.0396926354130218,-1.0432188559785975,0.202037556039723
1780294795.978232,-1.0396926354130218,-1.0435222553148351,0.21942105751320665
1780294795.9983258,-1.0396926354130218,-1.0437831104945936,0.23436695837749455
1780294796.0179932,-1.0396926354130218,-1.0442713137283057,0.26233894321383827
