bag_ts,header_stamp,x,y,vx,vy,wz
1780294758.315447569,1780294758.302236319,-209.09503013089412,-103.67623554953883,0.0,0.0,0.0
1780294758.344783068,1780294758.330071211,-209.09499793289945,-103.67621814840084,0.0,0.0,0.0
1780294758.354022503,1780294758.346404076,-209.09497444462835,-103.67620542730347,0.0,0.0,0.0
1780294758.364858627,1780294758.358009815,-209.09494794242957,-103.67619103652181,0.0,0.0,0.0
1780294758.407032013,1780294758.378153801,-209.0949147303843,-103.67617294594828,0.0,0.0,0.0
1780294758.426131487,1780294758.407622337,-209.0948902237539,-103.6761595331445,0.0,0.0,0.0
1780294758.453870773,1780294758.430125237,-209.09486850823984,-103.67614759553305,0.0,0.0,0.0
1780294758.463259220,1780294758.453704357,-209.0948525960755,-103.67613880188415,0.0,0.0,0.0
1780294758.478121996,1780294758.464497566,-209.09483834173292,-103.67613088445056,0.0,0.0,0.0
1780294758.487517834,1780294758.479717970,-209.09483048136855,-103.67612649986648,0.0,0.0,0.0
1780294758.519804716,1780294758.502881289,-209.09482071525488,-103.67612103133119,0.0,0.0,0.0
1780294758.536027193,1780294758.527153730,-209.09481168236434,-103.67611595033908,0.0,0.0,0.0
1780294758.549577475,1780294758.537983894,-209.09480130365753,-103.67611008135412,0.0,0.0,0.0
1780294758.572438717,1780294758.560946703,-209.09479001863508,-103.67610365668436,0.0,0.0,0.0
1780294758.588241577,1780294758.578154087,-209.09477823470777,-103.67609689168215,0.0,0.0,0.0
1780294758.609542370,1780294758.598740578,-209.09476630396375,-103.67608997246813,0.0,0.0,0.0
1780294758.652665138,1780294758.620380640,-209.09475574666016,-103.67608377924716,0.0,0.0,0.0
1780294758.663897514,1780294758.650873661,-209.09474634294878,-103.6760781958282,0.0,0.0,0.0
1780294758.679191113,1780294758.667902231,-209.09473994040087,-103.67607435199717,0.0,0.0,0.0
1780294758.688574314,1780294758.679711580,-209.09473498042843,-103.67607134730252,0.0,0.0,0.0
1780294758.709961414,1780294758.698004246,-209.094729974264,-103.67606831824449,0.0,0.0,0.0
1780294758.743670702,1780294758.719845295,-209.09472501649836,-103.67606531481452,0.0,0.0,0.0
1780294758.755336285,1780294758.740234852,-209.09472123485506,-103.67606300965103,0.0,0.0,0.0
1780294758.777941465,1780294758.761483669,-209.09471676188824,-103.67606026252645,0.0,0.0,0.0
1780294758.792923450,1780294758.779980659,-209.0947133645071,-103.67605816051699,0.0,0.0,0.0
1780294758.816427946,1780294758.799266577,-209.0947108792097,-103.6760566171883,0.0,0.0,0.0
1780294758.829745770,1780294758.824835777,-209.0947085653324,-103.67605516447296,0.0,0.0,0.0
1780294758.844106436,1780294758.837994099,-209.09470438775952,-103.67605249701657,0.0,0.0,0.0
1780294758.864478350,1780294758.857988596,-209.09470072242087,-103.67605010034663,0.0,0.0,0.0
1780294758.904078960,1780294758.878163099,-209.09469648763582,-103.67604724965393,0.0,0.0,0.0
