bag_ts,header_stamp,steering_tire_angle
1780294779.200620413,1780294779.199256897,0.4000000059604645
1780294779.225781202,1780294779.222135544,0.4000000059604645
1780294779.244432688,1780294779.243816853,0.4000000059604645
1780294779.270392895,1780294779.268370390,0.4000000059604645
1780294779.280894995,1780294779.280589819,0.4000000059604645
1780294779.304360867,1780294779.303945065,0.4000000059604645
1780294779.326911926,1780294779.326297998,0.4000000059604645
1780294779.340835810,1780294779.340128660,0.4000000059604645
1780294779.363604546,1780294779.362525940,0.4000000059604645
1780294779.385600090,1780294779.384592295,0.4000000059604645
1780294779.414375782,1780294779.408521414,0.4000000059604645
1780294779.422737122,1780294779.420646191,0.4000000059604645
1780294779.443786383,1780294779.442600489,0.4000000059604645
1780294779.465281487,1780294779.464545250,0.4000000059604645
1780294779.488700867,1780294779.487884760,0.4000000059604645
1780294779.501362324,1780294779.500540257,0.4000000059604645
1780294779.524260998,1780294779.523517132,0.4000000059604645
1780294779.546488762,1780294779.545580149,0.4000000059604645
1780294779.568652630,1780294779.567895889,0.4000000059604645
1780294779.580031633,1780294779.579658747,0.5600000023841858
1780294779.602894545,1780294779.602079153,0.5600000023841858
1780294779.624120235,1780294779.623842955,0.5600000023841858
1780294779.645846605,1780294779.645568371,0.7300000190734863
1780294779.668868780,1780294779.667963266,0.7300000190734863
1780294779.680176020,1780294779.679637194,0.7699999809265137
1780294779.703521967,1780294779.701681137,0.9300000071525574
1780294779.725323200,1780294779.724103212,0.9300000071525574
1780294779.747473955,1780294779.745819569,0.9200000166893005
1780294779.769717216,1780294779.767967224,1.0800000429153442
1780294779.782119274,1780294779.780592680,1.0800000429153442
1780294779.804921389,1780294779.803353548,1.159999966621399
1780294779.827213049,1780294779.825921774,1.159999966621399
1780294779.849650383,1780294779.848632812,1.340000033378601
1780294779.865044832,1780294779.863753080,1.5099999904632568
1780294779.890387774,1780294779.889139175,1.5099999904632568
1780294779.903947592,1780294779.901772499,1.559999942779541
1780294779.924531221,1780294779.923872948,1.6299999952316284
1780294779.946219444,1780294779.945614338,1.6299999952316284
1780294779.968814611,1780294779.968131304,1.659999966621399
1780294779.980768681,1780294779.979556561,1.7200000286102295
1780294780.003905535,1780294780.003126383,1.7200000286102295
1780294780.026580572,1780294780.024967432,1.7300000190734863
1780294780.048782349,1780294780.047974586,1.7300000190734863
1780294780.060765505,1780294780.059861422,1.7400000095367432
1780294780.083154440,1780294780.082613230,1.7400000095367432
1780294780.105740547,1780294780.105102777,1.7400000095367432
1780294780.128622770,1780294780.128012896,1.7400000095367432
1780294780.140349627,1780294780.139836311,1.7400000095367432
1780294780.163328648,1780294780.162415504,1.7400000095367432
1780294780.184023857,1780294780.183578968,1.75
1780294780.206378460,1780294780.205921650,1.7300000190734863
1780294780.228296280,1780294780.227800846,1.7300000190734863
1780294780.240185976,1780294780.239526987,1.7400000095367432
1780294780.262590170,1780294780.261877060,1.7999999523162842
1780294780.284193993,1780294780.283887625,1.7999999523162842
1780294780.306286335,1780294780.305766106,1.7999999523162842
1780294780.328378916,1780294780.327886105,1.7999999523162842
1780294780.345371723,1780294780.344729900,1.8200000524520874
1780294780.367216587,1780294780.366557360,1.840000033378601
1780294780.392773151,1780294780.391636848,1.840000033378601
1780294780.404604673,1780294780.404084206,1.850000023841858
1780294780.427872658,1780294780.426985502,1.8899999856948853
1780294780.439645529,1780294780.438970804,1.8899999856948853
1780294780.461875916,1780294780.460642815,1.899999976158142
1780294780.483846188,1780294780.483375311,2.0
1780294780.504979134,1780294780.504673719,2.0
1780294780.527364731,1780294780.527087450,2.0899999141693115
1780294780.548043013,1780294780.547367573,2.0899999141693115
1780294780.560229540,1780294780.559785128,2.1500000953674316
1780294780.582170963,1780294780.581768990,2.2300000190734863
1780294780.604433298,1780294780.603689909,2.2300000190734863
1780294780.626207352,1780294780.625943661,2.2300000190734863
1780294780.639494419,1780294780.639009237,2.240000009536743
1780294780.661780119,1780294780.661168575,2.240000009536743
1780294780.686754942,1780294780.686177731,2.2300000190734863
1780294780.699466467,1780294780.698978901,2.25
1780294780.723932266,1780294780.723467827,2.25
1780294780.747458935,1780294780.746021509,2.240000009536743
1780294780.760611773,1780294780.759784698,2.240000009536743
1780294780.782817364,1780294780.781787157,2.240000009536743
1780294780.804790497,1780294780.803589344,2.240000009536743
1780294780.826701641,1780294780.825565100,2.240000009536743
1780294780.842925072,1780294780.840746641,2.2300000190734863
1780294780.866436005,1780294780.863876820,2.4100000858306885
1780294780.887888193,1780294780.886123896,2.4100000858306885
1780294780.900048733,1780294780.899256706,2.430000066757202
1780294780.924015284,1780294780.922634840,2.549999952316284
1780294780.945726871,1780294780.944808722,2.549999952316284
1780294780.962537050,1780294780.961366653,2.6500000953674316
1780294780.988294601,1780294780.986498117,2.8399999141693115
1780294780.999378681,1780294780.998954773,2.8399999141693115
1780294781.023034573,1780294781.020977974,2.930000066757202
1780294781.044406891,1780294781.043009281,2.930000066757202
1780294781.065316200,1780294781.064636230,3.049999952316284
1780294781.089106321,1780294781.088011026,3.259999990463257
1780294781.104035854,1780294781.102012873,3.259999990463257
1780294781.126370430,1780294781.124686480,3.299999952316284
1780294781.148572683,1780294781.147931337,3.440000057220459
1780294781.163672209,1780294781.161890507,3.440000057220459
1780294781.185656548,1780294781.184510708,3.4600000381469727
1780294781.208451986,1780294781.207152367,3.549999952316284
1780294781.219957829,1780294781.218963385,3.549999952316284
1780294781.242995501,1780294781.241280794,3.5799999237060547
1780294781.267299891,1780294781.264087439,3.630000114440918
1780294781.288064957,1780294781.287738323,3.630000114440918
1780294781.313344479,1780294781.311354876,3.630000114440918
1780294781.324787617,1780294781.324384451,3.630000114440918
1780294781.347240210,1780294781.346805096,3.740000009536743
1780294781.369644880,1780294781.368770361,3.9100000858306885
1780294781.381737232,1780294781.380933046,3.9100000858306885
1780294781.401142597,1780294781.400873899,3.930000066757202
1780294781.427094698,1780294781.426864624,4.03000020980835
1780294781.438906193,1780294781.438552618,4.03000020980835
1780294781.461341619,1780294781.460665464,4.139999866485596
1780294781.487197638,1780294781.485317945,4.340000152587891
1780294781.508029461,1780294781.507647276,4.340000152587891
1780294781.521797180,1780294781.520146847,4.449999809265137
1780294781.543900728,1780294781.541754961,4.679999828338623
1780294781.564216614,1780294781.563896656,4.679999828338623
1780294781.586434603,1780294781.585551739,4.829999923706055
1780294781.600110769,1780294781.599260807,5.119999885559082
1780294781.623884201,1780294781.621715069,5.119999885559082
1780294781.644930363,1780294781.644500017,5.289999961853027
1780294781.668037415,1780294781.666634560,5.289999961853027
1780294781.691613436,1780294781.689548731,5.619999885559082
1780294781.703403711,1780294781.701717854,5.789999961853027
1780294781.724519968,1780294781.723783016,5.789999961853027
1780294781.746258736,1780294781.745795012,6.119999885559082
1780294781.768989325,1780294781.768389225,6.409999847412109
1780294781.781008959,1780294781.779447794,6.409999847412109
1780294781.804319620,1780294781.803963661,6.559999942779541
1780294781.826628208,1780294781.825850725,6.869999885559082
1780294781.848840237,1780294781.848307371,6.869999885559082
1780294781.863703012,1780294781.861580610,7.010000228881836
1780294781.884350538,1780294781.884138107,7.289999961853027
1780294781.907691002,1780294781.906687975,7.289999961853027
1780294781.929144621,1780294781.928482533,7.429999828338623
1780294781.942623854,1780294781.941712379,7.429999828338623
1780294781.965286016,1780294781.964074135,7.670000076293945
1780294781.986327410,1780294781.985512972,7.989999771118164
1780294782.000470877,1780294781.999731064,7.989999771118164
1780294782.024827957,1780294782.024206877,8.0600004196167
1780294782.047673702,1780294782.047179461,8.260000228881836
1780294782.069455147,1780294782.068519115,8.260000228881836
1780294782.081127167,1780294782.080431461,8.359999656677246
1780294782.104385853,1780294782.104034185,8.59000015258789
1780294782.127624989,1780294782.125901699,8.59000015258789
1780294782.147988558,1780294782.147561789,8.680000305175781
1780294782.160101652,1780294782.159652710,8.869999885559082
1780294782.182489872,1780294782.182021618,8.869999885559082
1780294782.203982115,1780294782.203485966,8.9399995803833
1780294782.226024628,1780294782.225619555,9.119999885559082
1780294782.241011381,1780294782.240156174,9.119999885559082
1780294782.264015198,1780294782.263692856,9.359999656677246
1780294782.290412903,1780294782.288145542,9.359999656677246
1780294782.301947355,1780294782.301470041,9.380000114440918
1780294782.327203751,1780294782.324378252,9.630000114440918
1780294782.348981142,1780294782.347859383,9.630000114440918
1780294782.360566378,1780294782.360065699,9.65999984741211
1780294782.382586241,1780294782.381867886,9.800000190734863
1780294782.414682150,1780294782.413649797,9.800000190734863
1780294782.427202225,1780294782.426158428,9.859999656677246
1780294782.455882072,1780294782.449192286,10.039999961853027
1780294782.461252689,1780294782.460835218,10.039999961853027
1780294782.483629942,1780294782.482441187,10.119999885559082
1780294782.507533073,1780294782.504684448,10.260000228881836
1780294782.528904676,1780294782.526873350,10.260000228881836
1780294782.538948298,1780294782.538579941,10.350000381469727
1780294782.562595367,1780294782.561669111,10.350000381469727
1780294782.584941626,1780294782.584172010,10.5
1780294782.609272718,1780294782.607408524,10.720000267028809
1780294782.620243549,1780294782.619557142,10.720000267028809
1780294782.645495892,1780294782.643761158,10.75
1780294782.666956902,1780294782.665483475,10.899999618530273
1780294782.692033052,1780294782.688145876,10.899999618530273
1780294782.701589584,1780294782.700446367,10.960000038146973
1780294782.723685026,1780294782.723096848,11.170000076293945
1780294782.747315168,1780294782.746408224,11.170000076293945
1780294782.760195732,1780294782.759623051,11.270000457763672
1780294782.784683228,1780294782.783681870,11.270000457763672
1780294782.813455820,1780294782.806232691,11.520000457763672
1780294782.829182863,1780294782.827887058,11.829999923706055
1780294782.840305328,1780294782.839722157,11.829999923706055
1780294782.862596512,1780294782.862057209,11.949999809265137
1780294782.885052443,1780294782.884361506,12.199999809265137
1780294782.906043530,1780294782.905795336,12.199999809265137
1780294782.928985119,1780294782.928575993,12.359999656677246
1780294782.943017006,1780294782.942641735,12.710000038146973
1780294782.965293407,1780294782.964967728,12.710000038146973
1780294782.986840725,1780294782.986418486,12.890000343322754
1780294782.999609947,1780294782.998589754,13.270000457763672
1780294783.024681807,1780294783.023584604,13.270000457763672
1780294783.049057484,1780294783.048614740,13.449999809265137
1780294783.061731339,1780294783.061263561,13.449999809265137
1780294783.084192038,1780294783.083913088,13.850000381469727
1780294783.106226444,1780294783.105417490,14.289999961853027
1780294783.127965212,1780294783.127635479,14.289999961853027
1780294783.139809847,1780294783.139439344,14.420000076293945
1780294783.161992550,1780294783.161555529,14.75
1780294783.184204102,1780294783.183802128,14.75
1780294783.207054377,1780294783.205794573,14.90999984741211
1780294783.227908134,1780294783.227429390,15.239999771118164
1780294783.241791964,1780294783.239451885,15.239999771118164
1780294783.265096664,1780294783.262146950,15.380000114440918
1780294783.284465313,1780294783.284044504,15.380000114440918
1780294783.307897806,1780294783.306065798,15.699999809265137
1780294783.328628540,1780294783.328079462,16.030000686645508
1780294783.342992306,1780294783.341289282,16.030000686645508
1780294783.366656303,1780294783.362563610,16.09000015258789
1780294783.385386467,1780294783.384644508,16.309999465942383
1780294783.408940792,1780294783.408590555,16.309999465942383
1780294783.424179554,1780294783.423881292,16.40999984741211
1780294783.446986914,1780294783.445967913,16.6200008392334
1780294783.468023300,1780294783.467647552,16.6200008392334
1780294783.479975224,1780294783.479492426,16.68000030517578
1780294783.502668858,1780294783.501526833,16.719999313354492
1780294783.526968241,1780294783.523529768,16.719999313354492
1780294783.547011614,1780294783.545442343,16.719999313354492
1780294783.568202257,1780294783.567873955,16.719999313354492
1780294783.579980850,1780294783.579536438,16.709999084472656
1780294783.603756428,1780294783.601630688,16.690000534057617
1780294783.624635935,1780294783.623519182,16.690000534057617
1780294783.646033764,1780294783.645415306,16.700000762939453
1780294783.669143677,1780294783.667610407,16.709999084472656
1780294783.679856539,1780294783.679573774,16.709999084472656
1780294783.705314398,1780294783.702781677,16.709999084472656
1780294783.726222038,1780294783.725276947,16.690000534057617
1780294783.748600721,1780294783.747438669,16.690000534057617
1780294783.760805368,1780294783.760268450,16.690000534057617
1780294783.785246849,1780294783.784557581,16.690000534057617
1780294783.801566839,1780294783.799572945,16.649999618530273
1780294783.822581053,1780294783.821458340,16.610000610351562
1780294783.844135046,1780294783.843807936,16.610000610351562
1780294783.867286444,1780294783.866888285,16.600000381469727
1780294783.879824638,1780294783.879197121,16.600000381469727
1780294783.903990269,1780294783.901474953,16.600000381469727
1780294783.927408457,1780294783.927141190,16.579999923706055
1780294783.940262318,1780294783.939704657,16.579999923706055
1780294783.963652134,1780294783.963217020,16.579999923706055
1780294783.985911608,1780294783.985574245,16.59000015258789
1780294784.007826567,1780294784.007441521,16.59000015258789
1780294784.019914865,1780294784.019422531,16.59000015258789
1780294784.042277575,1780294784.041538477,16.59000015258789
1780294784.064042330,1780294784.063372612,16.59000015258789
1780294784.091008663,1780294784.085396290,16.59000015258789
1780294784.109456778,1780294784.108736515,16.59000015258789
1780294784.121815920,1780294784.120577097,16.59000015258789
1780294784.143241882,1780294784.142768860,16.59000015258789
1780294784.167048216,1780294784.166654587,16.59000015258789
1780294784.182401657,1780294784.181978464,16.59000015258789
1780294784.205576420,1780294784.204913616,16.59000015258789
1780294784.227873325,1780294784.226991653,16.6299991607666
1780294784.238649130,1780294784.238296032,16.6299991607666
1780294784.261781454,1780294784.261432648,16.690000534057617
1780294784.284720421,1780294784.283764362,16.690000534057617
1780294784.307537556,1780294784.305647850,16.799999237060547
1780294784.328478098,1780294784.327670097,16.8700008392334
1780294784.341650248,1780294784.340546608,16.8700008392334
1780294784.363047600,1780294784.362512827,17.079999923706055
1780294784.384912014,1780294784.384414673,17.290000915527344
1780294784.408804417,1780294784.407955647,17.290000915527344
1780294784.420029402,1780294784.419447899,17.399999618530273
1780294784.443659067,1780294784.443337679,17.68000030517578
1780294784.468445539,1780294784.466890812,17.68000030517578
1780294784.479635239,1780294784.479123831,17.829999923706055
1780294784.502457857,1780294784.501399994,18.079999923706055
1780294784.524086237,1780294784.523653507,18.079999923706055
1780294784.546872139,1780294784.545462132,18.209999084472656
1780294784.559186459,1780294784.558629513,18.209999084472656
1780294784.582113028,1780294784.580505848,18.450000762939453
1780294784.603348732,1780294784.602787018,18.729999542236328
1780294784.624869347,1780294784.624548197,18.729999542236328
1780294784.647320509,1780294784.646903753,18.780000686645508
1780294784.659683943,1780294784.658654690,18.950000762939453
1780294784.683325291,1780294784.682590246,18.950000762939453
1780294784.707284451,1780294784.706579924,19.049999237060547
1780294784.723339558,1780294784.722421885,19.229999542236328
1780294784.749094248,1780294784.746897936,19.229999542236328
1780294784.771838427,1780294784.770365715,19.31999969482422
1780294784.788502693,1780294784.783661366,19.31999969482422
1780294784.808530092,1780294784.805964470,19.459999084472656
1780294784.830423355,1780294784.828761578,19.5
1780294784.842372179,1780294784.840583563,19.5
1780294784.867041111,1780294784.866183519,19.5
1780294784.880450726,1780294784.878957748,19.5
1780294784.904446125,1780294784.903187990,19.5
1780294784.919247866,1780294784.918359995,19.5
1780294784.943915129,1780294784.941620350,19.489999771118164
1780294784.965553522,1780294784.964639902,19.489999771118164
1780294784.988111019,1780294784.987522602,19.489999771118164
1780294785.003174543,1780294785.000791311,19.489999771118164
1780294785.024468184,1780294785.023514986,19.489999771118164
1780294785.046622038,1780294785.045413733,19.489999771118164
1780294785.060643196,1780294785.059390068,19.489999771118164
1780294785.085505247,1780294785.082302809,19.489999771118164
1780294785.107346296,1780294785.106365442,19.489999771118164
1780294785.122963667,1780294785.121259451,19.489999771118164
1780294785.146660566,1780294785.145255804,19.5
1780294785.169202089,1780294785.167990208,19.489999771118164
1780294785.182088614,1780294785.180942535,19.489999771118164
1780294785.205225945,1780294785.203724384,19.489999771118164
1780294785.229786396,1780294785.228368521,19.489999771118164
1780294785.241378307,1780294785.240287781,19.489999771118164
1780294785.263363123,1780294785.262481451,19.489999771118164
1780294785.285388470,1780294785.285037518,19.489999771118164
1780294785.299821854,1780294785.299166918,19.489999771118164
