t,status
1780280693.0189,4
1780280693.0199,4
1780280693.021,4
1780280693.022,4
1780280693.023,4
1780280693.024,4
1780280693.025,4
1780280693.0259,4
1780280693.0269,4
1780280693.0279,4
1780280693.0289,4
1780280693.03,4
1780280693.031,4
1780280693.032,4
1780280693.033,4
1780280693.0339,4
1780280693.0349,4
1780280693.0359,4
1780280693.0369,4
1780280693.038,4
1780280693.039,4
1780280693.04,4
1780280693.041,4
1780280693.0419,4
1780280693.0429,4
1780280693.0439,4
1780280693.0449,4
1780280693.046,4
1780280693.047,4
1780280693.048,4
1780280693.049,4
1780280693.05,4
1780280693.0509,4
1780280693.0519,4
1780280693.0529,4
1780280693.0539,4
1780280693.055,4
1780280693.056,4
1780280693.057,4
1780280693.058,4
1780280693.0589,4
1780280693.0599,4
1780280693.0609,4
1780280693.0619,4
1780280693.063,4
1780280693.064,4
1780280693.065,4
1780280693.066,4
1780280693.0669,4
1780280693.0679,4
1780280693.0689,4
1780280693.0699,4
1780280693.071,4
1780280693.072,4
1780280693.073,4
1780280693.074,4
1780280693.075,4
1780280693.0759,4
1780280693.0769,4
1780280693.0779,4
1780280693.0789,4
1780280693.08,4
1780280693.081,4
1780280693.082,4
1780280693.083,4
1780280693.0839,4
1780280693.0849,4
1780280693.0859,4
1780280693.0869,4
1780280693.088,4
1780280693.089,4
1780280693.09,4
1780280693.091,4
1780280693.0919,4
1780280693.0929,4
1780280693.0939,4
1780280693.0949,4
1780280693.096,4
1780280693.097,4
1780280693.098,4
1780280693.099,4
1780280694.0,4
1780280694.0009,4
1780280694.0019,4
1780280694.0029,4
1780280694.0039,4
1780280694.005,4
1780280694.006,4
1780280694.007,4
1780280694.008,4
1780280694.0089,4
1780280694.0099,4
1780280694.0109,4
1780280694.0119,4
1780280694.013,4
1780280694.014,4
1780280694.015,4
1780280694.016,4
1780280694.0169,4
1780280694.0179,4
1780280694.0189,4
1780280694.0199,4
1780280694.021,4
1780280694.022,4
1780280694.023,4
1780280694.024,4
1780280694.025,4
1780280694.0259,4
1780280694.0269,4
1780280694.0279,4
1780280694.0289,4
1780280694.03,4
1780280694.031,4
1780280694.032,4
1780280694.033,4
1780280694.0339,4
1780280694.0349,4
1780280694.0359,4
1780280694.0369,4
1780280694.038,4
1780280694.039,4
1780280694.04,4
1780280694.041,4
1780280694.0419,4
1780280694.0429,4
1780280694.0439,4
1780280694.0449,4
1780280694.046,4
1780280694.047,4
1780280694.048,4
1780280694.049,4
1780280694.05,4
1780280694.0509,4
1780280694.0519,4
1780280694.0529,4
1780280694.0539,4
1780280694.055,4
1780280694.056,4
1780280694.057,4
1780280694.058,4
1780280694.0589,4
1780280694.0599,4
1780280694.0609,4
1780280694.0619,4
1780280694.063,4
1780280694.064,4
1780280694.065,4
1780280694.066,4
1780280694.0669,4
1780280694.0679,4
1780280694.0689,4
1780280694.0699,4
1780280694.071,4
1780280694.072,4
1780280694.073,4
1780280694.074,4
1780280694.075,4
1780280694.0759,4
1780280694.0769,4
1780280694.0779,4
1780280694.0789,4
1780280694.08,4
1780280694.081,4
1780280694.082,4
1780280694.083,4
1780280694.0839,4
1780280694.0849,4
1780280694.0859,4
1780280694.0869,4
1780280694.088,4
1780280694.089,4
1780280694.09,4
1780280694.091,4
1780280694.0919,4
1780280694.0929,4
1780280694.0939,4
1780280694.0949,4
1780280694.096,4
1780280694.097,4
1780280694.098,4
1780280694.099,4
1780280695.0,4
1780280695.0009,4
1780280695.0019,4
1780280695.0029,4
1780280695.0039,4
1780280695.005,4
1780280695.006,4
1780280695.007,4
1780280695.008,4
1780280695.0089,4
1780280695.0099,4
1780280695.0109,4
1780280695.0119,4
1780280695.013,4
1780280695.014,4
1780280695.015,4
1780280695.016,4
1780280695.0169,4
1780280695.0179,4
1780280695.0189,4
1780280695.0199,4
1780280695.021,4
1780280695.022,4
1780280695.023,4
1780280695.024,4
1780280695.025,4
1780280695.0259,4
1780280695.0269,4
1780280695.0279,4
1780280695.0289,4
1780280695.03,4
1780280695.031,4
1780280695.032,4
1780280695.033,4
1780280695.0339,4
1780280695.0349,4
1780280695.0359,4
1780280695.0369,4
1780280695.038,4
1780280695.039,4
1780280695.04,4
1780280695.041,4
1780280695.0419,4
1780280695.0429,4
1780280695.0439,4
1780280695.0449,4
1780280695.046,4
1780280695.047,4
1780280695.048,4
1780280695.049,4
1780280695.05,4
1780280695.0509,4
1780280695.0519,4
1780280695.0529,4
1780280695.0539,4
1780280695.055,4
1780280695.056,4
1780280695.057,4
1780280695.058,4
1780280695.0589,4
1780280695.0599,4
1780280695.0609,4
1780280695.0619,4
1780280695.063,4
1780280695.064,4
1780280695.065,4
1780280695.066,4
1780280695.0669,4
1780280695.0679,4
1780280695.0689,4
1780280695.0699,4
1780280695.071,4
1780280695.072,4
1780280695.073,4
1780280695.074,4
1780280695.075,4
1780280695.0759,4
1780280695.0769,4
1780280695.0779,4
1780280695.0789,4
1780280695.08,4
1780280695.081,4
1780280695.082,4
1780280695.083,4
1780280695.0839,4
1780280695.0849,4
1780280695.0859,4
1780280695.0869,4
1780280695.088,4
1780280695.089,4
1780280695.09,4
1780280695.091,4
1780280695.0919,4
1780280695.0929,4
1780280695.0939,4
1780280695.0949,4
1780280695.096,4
1780280695.097,4
1780280695.098,4
1780280695.099,4
1780280696.0,4
1780280696.0009,4
1780280696.0019,4
1780280696.0029,4
1780280696.0039,4
1780280696.005,4
1780280696.006,4
1780280696.007,4
1780280696.008,4
1780280696.0089,4
1780280696.0099,4
1780280696.0109,4
1780280696.0119,4
1780280696.013,4
1780280696.014,4
1780280696.015,4
1780280696.016,4
1780280696.0169,4
1780280696.0179,4
1780280696.0189,4
1780280696.0199,4
1780280696.021,4
1780280696.022,4
1780280696.023,4
1780280696.024,4
1780280696.025,4
1780280696.0259,4
1780280696.0269,4
1780280696.0279,4
1780280696.0289,4
1780280696.03,4
1780280696.031,4
1780280696.032,4
1780280696.033,4
1780280696.0339,4
1780280696.0349,4
1780280696.0359,4
1780280696.0369,4
1780280696.038,4
1780280696.039,4
1780280696.04,4
1780280696.041,4
1780280696.0419,4
1780280696.0429,4
1780280696.0439,4
1780280696.0449,4
1780280696.046,4
1780280696.047,4
1780280696.048,4
1780280696.049,4
1780280696.05,4
1780280696.0509,4
1780280696.0519,4
1780280696.0529,4
1780280696.0539,4
1780280696.055,4
1780280696.056,4
1780280696.057,4
1780280696.058,4
1780280696.0589,4
1780280696.0599,4
1780280696.0609,4
1780280696.0619,4
1780280696.063,4
1780280696.064,4
1780280696.065,4
1780280696.066,4
1780280696.0669,4
1780280696.0679,4
1780280696.0689,4
1780280696.0699,4
1780280696.071,4
1780280696.072,4
1780280696.073,4
1780280696.074,4
1780280696.075,4
1780280696.0759,4
1780280696.0769,4
1780280696.0779,4
1780280696.0789,4
1780280696.08,4
1780280696.081,4
1780280696.082,4
1780280696.083,4
1780280696.0839,4
1780280696.0849,4
1780280696.0859,4
1780280696.0869,4
1780280696.088,4
1780280696.089,4
1780280696.09,4
1780280696.091,4
1780280696.0919,4
1780280696.0929,4
1780280696.0939,4
1780280696.0949,4
1780280696.096,4
1780280696.097,4
1780280696.098,4
1780280696.099,4
1780280697.0,4
1780280697.0009,4
1780280697.0019,4
1780280697.0029,4
1780280697.0039,4
1780280697.005,4
1780280697.006,4
1780280697.007,4
1780280697.008,4
1780280697.0089,4
1780280697.0099,4
1780280697.0109,4
1780280697.0119,4
1780280697.013,4
1780280697.014,4
1780280697.015,4
1780280697.016,4
1780280697.0169,4
1780280697.0179,4
1780280697.0189,4
1780280697.0199,4
1780280697.021,4
1780280697.022,4
1780280697.023,4
1780280697.024,4
1780280697.025,4
1780280697.0259,4
1780280697.0269,4
1780280697.0279,4
1780280697.0289,4
